Genotyp;Rep;SPC-ID;Oil %DM;Protein %DM;Glucosinolates µmol/g seed;Sulphur %DM;Moisture %;C 18:1;C 18:3;C 22:1
ASSYST078;a;ASSYST078-a.spc;46,2;22,1;21,1;0,4;6,9;64,1;10,9;-10,6
ASSYST078;b;ASSYST078-b.spc;47;21,6;20,9;0,4;7,1;65,3;10,8;-7,8
ASSYST120;a;ASSYST120-a.spc;45,8;18,1;6,8;0,3;6,8;64,3;9,2;-18,5
ASSYST120;b;ASSYST120-b.spc;46,8;17,8;9,9;0,4;6,7;63,9;8,7;-16,1
ASSYST145;a;ASSYST145-a.spc;55,4;17,4;77,2;0,8;6,9;67,8;4,2;32,6
ASSYST210;a;ASSYST210-a.spc;40,5;26,4;117,3;1,1;8,2;74,5;6,1;12,8
ASSYST211;a;ASSYST211-a.spc;43,9;22,7;75,4;0,7;7,7;70,7;6,7;19,2
ASSYST211;b;ASSYST211-b.spc;44;22,9;74,4;0,7;7,6;70,9;6;17,7
ASSYST219;a;ASSYST219-a.spc;51,2;18,3;77,1;0,7;6,8;67;4,5;23,9
ASSYST219;b;ASSYST219-b.spc;51,6;17,8;77,2;0,7;6,8;67,4;4,4;31,3
ASSYST271;a;ASSYST271-a.spc;47,3;20,5;39,4;0,5;7,7;69,5;4,7;28
ASSYST273;a;ASSYST273-a.spc;50,4;19,2;9,3;0,2;8,8;72,9;6,1;16,4
ASSYST290;a;ASSYST290-a.spc;50;17,6;5,1;0,2;7,6;63,3;10;-9,5
ASSYST290;b;ASSYST290-b.spc;49,9;17,2;2;0,2;7,9;61,7;10,3;-7,3
ASSYST419;a;ASSYST419-a.spc;40,1;27,3;120,3;1,1;6,9;67,6;6,3;13,3
ASSYST424;a;ASSYST424-a.spc;43,3;24,2;105,2;0,9;7,6;62;10,1;13,5
ASSYST427;a;ASSYST427-a.spc;44,9;23,7;80,1;0,9;7,7;71,4;6,9;9
ASSYST427;b;ASSYST427-b.spc;44,3;24;76,1;0,9;7,8;69;6,4;5,9
